"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.609308497E0,1.214218140E-1,6.924523115E-1,8.650016785E-1
1.614308497E0,4.197595119E-1,7.600569725E-1,1.226523399E0
1.619308497E0,6.793618202E-1,7.871325016E-1,1.514762878E0
1.624308497E0,9.226319790E-1,8.230222464E-1,1.675982475E0
1.629308497E0,1.089392900E0,8.627331257E-1,1.772593498E0
1.634308497E0,1.133660555E0,8.533788919E-1,1.894526482E0
1.639308497E0,1.041700840E0,8.111724854E-1,2.002263069E0
1.644308497E0,7.990783453E-1,6.871006489E-1,2.036152840E0
1.649308497E0,4.385622740E-1,4.944347143E-1,2.103552818E0
1.654308497E0,-3.359997272E-2,2.816549540E-1,2.179103851E0
1.659308497E0,-5.186804533E-1,2.720808983E-2,2.225716591E0
1.664308497E0,-1.005799055E0,-2.422537804E-1,2.314133644E0
1.669308497E0,-1.395183325E0,-5.149913430E-1,2.465009689E0
1.674308497E0,-1.586484671E0,-6.588622332E-1,2.717885971E0
1.679308497E0,-1.603988290E0,-7.144300938E-1,3.008924484E0
1.684308497E0,-1.456638575E0,-7.031691670E-1,3.255084991E0
1.689308497E0,-1.233319402E0,-6.795088649E-1,3.400566101E0
1.694308497E0,-9.411554337E-1,-6.443786621E-1,3.417453766E0
1.699308497E0,-6.327707767E-1,-6.082111597E-1,3.348749161E0
1.704308497E0,-3.630101681E-1,-5.543616414E-1,3.270383835E0
1.709308497E0,-1.272721291E-1,-4.881193042E-1,3.212282181E0
1.714308497E0,6.596422195E-2,-3.681111336E-1,3.191561699E0
1.719308497E0,1.764979362E-1,-1.809892654E-1,3.097839355E0
1.724308497E0,2.676336169E-1,-2.421915531E-2,2.872632027E0
1.729308497E0,3.267181516E-1,9.192645550E-2,2.582746506E0
1.734308497E0,3.504109383E-1,1.327441931E-1,2.273641586E0
1.739308497E0,3.464959860E-1,1.035004854E-1,1.948328972E0
1.744308497E0,3.182649612E-1,1.018512249E-2,1.589219093E0
1.749308497E0,2.846827507E-1,-1.110212803E-1,1.291107178E0
1.754308497E0,2.115135193E-1,-2.882819176E-1,1.058740616E0
1.759308497E0,1.325502396E-1,-5.071085691E-1,1.002495766E0
1.764308497E0,5.412709713E-2,-7.158778906E-1,1.105441093E0
1.769308497E0,-2.140831947E-2,-9.199569225E-1,1.318862915E0
1.774308497E0,-9.259366989E-2,-1.147283196E0,1.656349182E0
1.779308497E0,-1.193333864E-1,-1.392307997E0,2.052527428E0
1.784308497E0,-1.284880638E-1,-1.602830768E0,2.380707741E0
1.789308497E0,-1.083060503E-1,-1.745888591E0,2.545053482E0
1.794308497E0,-7.555627823E-2,-1.856289268E0,2.576713562E0
1.799308497E0,-2.970349789E-2,-1.931786060E0,2.525283813E0
1.804308497E0,1.388669014E-3,-1.978125095E0,2.415737152E0
